keystroke_id,session_id,key,event_type,timestamp
1,1,h,down,1704572400.123456
2,1,h,up,1704572400.173821
3,1,e,down,1704572400.298765
4,1,e,up,1704572400.351234
5,1,l,down,1704572400.476543
6,1,l,up,1704572400.529876
7,1,l,down,1704572400.654321
8,1,l,up,1704572400.707654
9,1,o,down,1704572400.832987
10,1,o,up,1704572400.886320
11,1,[space],down,1704572401.011653
12,1,[space],up,1704572401.064986
13,1,w,down,1704572401.189319
14,1,w,up,1704572401.242652
15,1,o,down,1704572401.367985
16,1,o,up,1704572401.421318
17,1,r,down,1704572401.546651
18,1,r,up,1704572401.599984
19,1,l,down,1704572401.725317
20,1,l,up,1704572401.778650
21,1,d,down,1704572401.903983
22,1,d,up,1704572401.957316
